Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,23,TOR,17,0,17.5,2.7,6.9,.390,0.5,2.3,.205,2.2,4.6,.481,.424,1.7,2.1,.829,1.5,3.9,5.4,1.1,0.2,0.7,1.0,1.4,7.6
Steven Adams,C,29,MEM,36,36,26.9,3.6,6.2,.578,0.0,0.0,.000,3.6,6.2,.581,.578,1.0,3.0,.327,4.9,6.3,11.3,2.2,0.9,1.1,1.9,2.3,8.1
Bam Adebayo,C,25,MIA,37,37,35.2,8.5,15.8,.538,0.0,0.3,.100,8.5,15.5,.546,.539,4.4,5.4,.806,2.8,7.1,9.9,3.1,1.1,0.8,2.9,3.0,21.4
Ochai Agbaji,SG,22,UTA,21,0,10.1,1.4,3.0,.468,0.6,1.7,.343,0.8,1.3,.630,.565,0.2,0.5,.500,0.4,0.8,1.2,0.3,0.0,0.0,0.1,1.0,3.6
Santi Aldama,PF,22,MEM,37,16,22.6,3.4,7.1,.479,1.3,3.5,.367,2.1,3.6,.586,.569,1.4,1.9,.732,1.2,3.8,5.0,1.3,0.7,0.8,0.6,2.2,9.4
Nickeil Alexander-Walker,SG,24,UTA,29,2,15.7,2.6,5.3,.490,1.1,2.7,.410,1.5,2.6,.573,.595,0.8,1.2,.686,0.3,1.4,1.7,2.3,0.7,0.4,1.3,1.7,7.1
Grayson Allen,SG,27,MIL,37,35,27.4,3.3,7.6,.431,1.8,4.7,.387,1.5,3.0,.500,.549,1.9,2.1,.909,0.9,2.6,3.6,2.6,0.8,0.2,1.1,1.4,10.3
Jarrett Allen,C,24,CLE,35,35,32.8,5.3,8.5,.619,0.0,0.2,.000,5.3,8.4,.631,.619,2.6,3.7,.702,3.0,6.8,9.8,1.5,0.8,1.2,1.4,2.1,13.2
Jose Alvarado,PG,24,NOP,40,8,21.0,3.3,8.0,.418,1.4,4.2,.341,1.9,3.8,.503,.508,1.1,1.5,.776,0.5,2.0,2.5,3.1,1.2,0.1,1.4,2.0,9.2
Kyle Anderson,PF,29,MIN,31,16,25.5,2.8,5.8,.483,0.5,1.3,.415,2.3,4.5,.504,.531,1.7,2.1,.815,0.6,3.7,4.3,3.7,1.2,0.7,1.4,2.1,7.9
Giannis Antetokounmpo,PF,28,MIL,34,34,33.7,11.1,21.1,.527,0.7,3.0,.245,10.4,18.1,.574,.545,8.7,13.2,.657,2.3,9.5,11.8,5.2,0.8,0.9,4.1,3.5,31.7
